Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W),GPU2_SM_Clock (MHz),GPU2_DRAM_Active,GPU2_FP16_Active,GPU2_FP32_Active,GPU2_FP64_Active,GPU2_Power (W)
0.20014071464538574,735.0,0.0,0.0,0.0,0.0,85,705.0,0.0,0.0,0.0,0.0,85,750.0,0.0,0.0,0.0,0.0,94
1.0135550498962402,465.0,0.0,0.0,0.0,0.0,82,495.0,0.0,0.0,0.0,0.0,72,510.0,0.0,0.0,0.0,0.0,70
1.8242418766021729,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,70,360.0,0.0,0.0,0.0,0.0,69
2.8980424404144287,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,69,345.0,0.0,0.0,0.0,0.0,68
4.054670095443726,345.0,0.0,0.0,0.0,0.0,80,795.0,0.0,0.0,0.0,0.0,72,795.0,0.0,0.0,0.0,0.0,70
5.116649150848389,1965.0,0.0,0.0,0.0,0.0,84,345.0,0.0,0.0,0.0,0.0,72,795.0,0.0,0.0,0.0,0.0,71
5.927753686904907,1980.0,0.0,0.0,0.0,0.0,137,1980.0,0.0,0.0,0.0,0.0,95,1980.0,0.0,0.0,0.0,0.0,86
7.015756368637085,1695.0,0.001,0.0,0.0,0.0,148,1980.0,0.064,0.0,0.002,0.0,121,1980.0,0.001,0.0,0.0,0.0,124
7.829120397567749,1050.0,0.357,0.0,0.023,0.0,245,1095.0,0.347,0.0,0.019,0.0,234,1110.0,0.391,0.0,0.021,0.0,231
8.642030000686646,975.0,0.36,0.0,0.026,0.0,262,1005.0,0.363,0.0,0.02,0.0,257,1050.0,0.364,0.0,0.019,0.0,256
9.45691466331482,930.0,0.384,0.0,0.024,0.0,257,1125.0,0.379,0.0,0.02,0.0,246,1125.0,0.282,0.0,0.012,0.0,246
10.268941164016724,855.0,0.337,0.0,0.027,0.0,262,1125.0,0.343,0.0,0.02,0.0,257,1155.0,0.312,0.0,0.016,0.0,256
11.08107042312622,840.0,0.371,0.0,0.027,0.0,262,1125.0,0.38,0.0,0.022,0.0,258,1230.0,0.349,0.0,0.019,0.0,255
11.891698360443115,900.0,0.365,0.0,0.026,0.0,261,1065.0,0.362,0.0,0.021,0.0,255,1170.0,0.338,0.0,0.017,0.0,254
12.701758623123169,795.0,0.355,0.0,0.026,0.0,261,840.0,0.346,0.0,0.021,0.0,257,1020.0,0.326,0.0,0.015,0.0,254
13.512408971786499,1320.0,0.089,0.0,0.003,0.0,232,1185.0,0.07,0.0,0.002,0.0,224,1275.0,0.175,0.0,0.005,0.0,222
14.32351303100586,1050.0,0.248,0.0,0.01,0.0,232,1125.0,0.246,0.0,0.01,0.0,222,1155.0,0.265,0.0,0.011,0.0,229
15.134139776229858,810.0,0.35,0.0,0.026,0.0,260,885.0,0.357,0.0,0.018,0.0,255,1080.0,0.301,0.0,0.014,0.0,254
15.944285154342651,720.0,0.351,0.0,0.027,0.0,262,1050.0,0.344,0.0,0.021,0.0,258,1005.0,0.344,0.0,0.016,0.0,253
16.75454068183899,705.0,0.368,0.0,0.027,0.0,260,1305.0,0.352,0.0,0.021,0.0,258,1275.0,0.376,0.0,0.018,0.0,251
17.564849138259888,1110.0,0.368,0.0,0.027,0.0,261,1695.0,0.34,0.0,0.019,0.0,258,1755.0,0.394,0.0,0.019,0.0,256
18.374920129776,1260.0,0.378,0.0,0.026,0.0,264,1755.0,0.358,0.0,0.021,0.0,259,1815.0,0.398,0.0,0.019,0.0,255
